Day,Natural Gas Price
01/25/2016,2.16
01/22/2016,2.21
01/21/2016,2.22
01/20/2016,2.18
01/19/2016,2.23
01/18/2016,2.18
01/15/2016,2.18
01/14/2016,2.21
01/13/2016,2.28
01/12/2016,2.4
01/11/2016,2.54
01/8/2016,2.47
01/7/2016,2.35
01/6/2016,2.37
01/5/2016,2.33
01/4/2016,2.39
01/1/2016,2.28
12/31/2015,2.28
