ds,yhat
2018-08-05 14:00:00,54.80175719981302
2018-08-05 15:00:00,55.77822039460064
2018-08-05 16:00:00,56.66897310365075
2018-08-05 17:00:00,56.907313055155115
2018-08-05 18:00:00,56.28215673914556
2018-08-05 19:00:00,55.25366373880648
2018-08-05 20:00:00,54.16406236566849
2018-08-05 21:00:00,53.15542053238004
2018-08-05 22:00:00,52.67237986938975
2018-08-05 23:00:00,52.44737471009235
2018-08-06 00:00:00,51.62109610414552
2018-08-06 01:00:00,51.261448983345424
2018-08-06 02:00:00,51.548388000717715
2018-08-06 03:00:00,52.75521114908434
2018-08-06 04:00:00,54.636625482824286
2018-08-06 05:00:00,56.773674271183616
2018-08-06 06:00:00,58.48899366124102
2018-08-06 07:00:00,59.32273433837381
2018-08-06 08:00:00,59.49897515192838
2018-08-06 09:00:00,58.857339200333726
2018-08-06 10:00:00,58.23384227468664
2018-08-06 11:00:00,57.52251890793328
2018-08-06 12:00:00,57.23821906940954
2018-08-06 13:00:00,56.96444113538603
2018-08-06 14:00:00,57.41291590959459
2018-08-06 15:00:00,58.13379557965202
2018-08-06 16:00:00,58.7760373491506
2018-08-06 17:00:00,59.20678880165674
2018-08-06 18:00:00,58.49592073901968
2018-08-06 19:00:00,57.19992584964674
2018-08-06 20:00:00,55.907212522862835
2018-08-06 21:00:00,55.01770428687671
2018-08-06 22:00:00,54.385969288684166
2018-08-06 23:00:00,53.76236483116951
2018-08-07 00:00:00,52.87589487692366
2018-08-07 01:00:00,52.423503958676264
2018-08-07 02:00:00,52.49167279074371
2018-08-07 03:00:00,53.32889731060304
2018-08-07 04:00:00,55.153931276331335
2018-08-07 05:00:00,57.07700873557552
2018-08-07 06:00:00,58.52935659468209
2018-08-07 07:00:00,59.1718035178346
2018-08-07 08:00:00,58.87824429213716
2018-08-07 09:00:00,58.11914642606745
2018-08-07 10:00:00,57.10286895648654
2018-08-07 11:00:00,56.299843882915475
2018-08-07 12:00:00,55.92257661139145
2018-08-07 13:00:00,55.83381903186075
2018-08-07 14:00:00,56.20268178861842
2018-08-07 15:00:00,57.04169968249765
2018-08-07 16:00:00,57.68671168238238
2018-08-07 17:00:00,57.75298044507089
2018-08-07 18:00:00,57.11402983131466
2018-08-07 19:00:00,56.07251281785264
2018-08-07 20:00:00,54.994366214664325
2018-08-07 21:00:00,53.977629504086025
2018-08-07 22:00:00,53.07532528278987
